id,name,district_id,active
360,"Đông Giang, Hàm Thuận Bắc.",33,1
361," Hải Ninh",25,1
362,"Phước Thể",20,1
363," Nghị Đức",41,1
364,"Thuận Hòa.",33,1
365,"Đức Nghĩa",11,1
366,"Mương Mán",35,1
367,"Phan Rí Thành,",25,1
368," Bắc Ruộng",41,1
369,"Bình Thạnh",20,1
370," Lạc Đạo",11,1
371,"Tân Lập",35,1
372,"Hàm Phú.",33,1
373," Phan Thanh",25,1
374,"Chí Công",20,1
375,"Đức Tân",41,1
376,"Thuận Minh.",33,1
377,"Hàm Mỹ",35,1
378,"Đức Thắng",11,1
379,"Hồng Thái",25,1
380," Huy Khiêm",41,1
381,"Hoà Minh",20,1
382,"Hàm Cần",35,1
383,"Hưng Long",11,1
384,"Hàm Liêm.",33,1
385,"La Ngâu",41,1
386," Sông Bình",25,1
387,"Hoà Phú",20,1
388," Đức Long",11,1
389,"Hàm Cường",35,1
390,"Hàm Hiệp.",33,1
391,"Sông Luỹ",25,1
392,"Đồng Kho",41,1
393," Phong Nẫm",11,1
394,"Tân Thuận",35,1
395,"Hàm Chính.",33,1
396,"Thị trấn Tân Nghĩa",47,1
397,"Gia An",41,1
398,"Phan Tiến",25,1
399,"Thị trấn Tân Minh",47,1
400,"Thuận Quý",35,1
401," Tiến Lợi",11,1
402,"Hàm Trí.",33,1
403,"Đức Bình",41,1
404,"Bình Tân",25,1
405,"Thiện Nghiệp",11,1
406," Tân Thắng",47,1
407,"Mỹ Thạnh",35,1
408,"Hồng Liêm.",33,1
409,"Gia Huynh",41,1
410,"Hoà Thắng",25,1
411,"Hồng Sơn, Hàm Thuận Bắc.",33,1
412," Tiến Thành",11,1
413,"Thắng Hải",47,1
414,"Thị trấn Võ Xu.",54,1
415,"Đức Thuận",41,1
416,"Phan Hiệp ",25,1
417,"Sơn Mỹ",47,1
418,"Thị trấn Đức Tài",54,1
419,"Hàm Thắng.",33,1
420,"Suối Kiết.",41,1
421,"Hồng Phong.",25,1
422,"An Hưng",15,1
423,"Hàm Đức.",33,1
424,"Tân Hà",47,1
425,"Đa Kai.",54,1
426,"Thị Trấn An Lão",15,1
427,"Sùng Nhơn.",54,1
428,"Tân Xuân",47,1
429,"Bồng Sơn",26,1
430,"Bình Định",17,1
431,"An Vinh",15,1
432,"Cát Sơn",29,1
433,"Tân Nghĩa",47,1
434,"Nhơn Hưng",17,1
435,"Mê Pu.",54,1
436,"Tam Quan",26,1
437,"Cát Minh",29,1
438,"An Dũng",15,1
439,"Vũ Hòa.",54,1
440,"Sông Phan",47,1
441,"Hoài Tân",26,1
442,"Đập Đá",17,1
443,"Cát Tài",29,1
444,"An Trung",15,1
445,"Hoài Đức",26,1
446," Tân Đức",47,1
447,"Nhơn Thành",17,1
448,"Đức Tín.",54,1
449,"An Toàn",15,1
450,"Cát Khánh",29,1
451,"Tam Quan Bắc",26,1
452,"Tân Phúc.",47,1
453,"Nhơn Hòa",17,1
454,"Nam Chính",54,1
455,"Cát Lâm",29,1
456,"An Tân",15,1
457,"Đức Chính.",54,1
458,"Nhơn An",17,1
459,"Hoài Sơn",26,1
460,"Cát Hanh",29,1
461,"An Hòa",15,1
462,"Phù Mỹ",37,1
463," Đức Hạnh.",54,1
464,"Nhơn Phong",17,1
465,"Tam Quan Nam",26,1
466,"Cát Thành",29,1
467,"An Quang",15,1
468,"Bình Dương",37,1
469,"Nhơn Hạnh",17,1
470,"Tân Hà",54,1
471,"Hoài Châu",26,1
472,"Mỹ An",37,1
473,"An Nghĩa",15,1
474,"Nhơn Hậu",17,1
475,"Trà Tân",54,1
476,"Hoài Châu Bắc",26,1
477,"Cát Hải",29,1
478,"Mỹ Cát",37,1
