type,appraise_title,appraise_point,asset_title,asset_point,description,difference_point,appraise_percent,asset_percent,adjust_percent
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,KÉM THUẬN LỢI HƠN,-20,100,80,25
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,KÉM THUẬN LỢI HƠN,-20,100,80,25
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,GẦN NGHĨA TRANG,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,THUẬN LỢI HƠN,20,100,120,-17
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,TƯƠNG ĐỒNG,0,100,100,0
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,GẦN NGHĨA TRANG,80,TƯƠNG ĐỒNG,0,100,100,0
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,THUẬN LỢI HƠN,20,100,120,-17
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,TƯƠNG ĐỒNG,0,100,100,0
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,GẦN NGHĨA TRANG,80,TƯƠNG ĐỒNG,0,100,100,0
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,THUẬN LỢI HƠN,20,100,120,-17
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,TƯƠNG ĐỒNG,0,100,100,0
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,TƯƠNG ĐỒNG,0,100,100,0
PHONG_THUY,PHONG THUỶ TỐT,100,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
PHONG_THUY,PHONG THUỶ TỐT,100,GẦN CHÙA,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
PHONG_THUY,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,PHONG THUỶ TỐT,100,THUẬN LỢI HƠN,20,100,120,-17
PHONG_THUY,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,GẦN CHÙA,80,TƯƠNG ĐỒNG,0,100,100,0
PHONG_THUY,GẦN CHÙA,80,PHONG THUỶ TỐT,100,THUẬN LỢI HƠN,20,100,120,-17
PHONG_THUY,GẦN CHÙA,80,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,TƯƠNG ĐỒNG,0,100,100,0
DIEU_KIEN_THANH_TOAN,THANH TOÁN 1 LẦN,100,THANH TOÁN NHIỀU LẦN,90,KÉM THUẬN LỢI HƠN,-10,100,90,11
DIEU_KIEN_THANH_TOAN,THANH TOÁN NHIỀU LẦN,90,THANH TOÁN 1 LẦN,100,THUẬN LỢI HƠN,10,100,110,-9
