IDTSSS,land_type_purpose,total_area,estimation_value,price_land,TotalAmount,UnitPrice
2390,62,1564,370000,"30,610,000","4,800,000,000","3,069,054"
2392,61,239.4,240000,"157,810,000","3,780,000,000","15,789,474"
2395,58,105,3400000,"238,010,000","2,500,000,000","23,809,524"
2425,57,72.7,14000000,"319,710,000","2,324,875,000","31,979,023"
2463,57,60.2,3500000,"132,810,000","800,000,000","13,289,037"
2483,62,59,243000,"123,410,000","1,589,413,000","13,356,412"
2484,58,195.9,2700000,"82,610,000","1,620,000,000","8,269,525"
2486,57,209,2700000,"95,610,000","2,000,000,000","9,569,378"
2512,58,100,3000000,"86,310,000","2,254,170,000","11,489,144"
2512,58,96.2,150000,"86,310,000","2,254,170,000","11,489,144"
2569,61,518,120000,"54,610,000","3,686,928,000","5,965,903"
2579,58,139.5,2000000,"83,510,000","1,166,200,000","8,359,857"
2581,58,107.7,2000000,"71,410,000","770,000,000","7,149,489"
2597,81,2002,110000,"5,410,000","1,100,000,000","549,451"
2609,81,423,200000,"77,210,000","3,269,499,595","7,729,313"
2619,57,105,11000000,"276,110,000","2,900,000,000","27,619,048"
2630,61,3777.1,153600,"17,910,000","6,798,600,000","1,799,952"
2636,61,772,138000,"45,610,000","3,528,000,000","4,569,948"
2646,61,1025,145000,"20,310,000","2,090,000,000","2,039,024"
2649,57,55,2000000,"81,810,000","941,800,000","8,189,565"
2649,61,60,350000,"65,310,000","941,800,000","8,189,565"
2653,57,100,750000,"92,210,000","922,904,000","9,229,040"
2662,58,300,3172000,"102,210,000","7,111,302,400","10,229,146"
2683,61,160.2,210000,"77,010,000","1,235,000,000","7,709,114"
2695,58,150,572000,"14,310,000","1,766,020,800","1,439,534"
2717,57,200,12000000,"228,010,000","5,602,104,000","22,809,870"
2717,81,45.6,410000,"112,110,000","5,602,104,000","22,809,870"
2728,81,959,110000,"14,510,000","1,400,000,000","1,459,854"
2730,57,80,14000000,"365,310,000","4,567,400,000","36,539,200"
2730,61,45,280000,"228,110,000","4,567,400,000","36,539,200"
2759,57,100,8000000,"163,110,000","3,704,501,120","16,319,388"
2759,81,127,410000,"87,210,000","3,704,501,120","16,319,388"
2766,58,80,1600000,"68,410,000","739,060,000","6,849,490"
2766,81,27.9,200000,"54,410,000","739,060,000","6,849,490"
2769,58,200,5500000,"108,110,000","7,763,984,000","10,819,376"
2769,61,517.6,160000,"54,710,000","7,763,984,000","10,819,376"
2771,61,1353,170000,"29,410,000","3,990,000,000","2,949,002"
2785,61,16292,50000,"3,610,000","6,014,000,000","369,138"
2814,81,550,390000,"69,010,000","3,800,000,000","6,909,091"
2823,57,100,1500000,"39,110,000","1,058,250,000","3,919,444"
2834,57,130,17000000,"392,610,000","5,105,000,000","39,269,231"
2854,61,722,220000,"63,710,000","4,606,000,000","6,379,501"
2857,61,494,240000,"82,910,000","4,100,000,000","8,299,595"
2861,61,160.2,410000,"140,610,000","2,254,000,000","14,069,913"
2874,61,31.4,292000,"67,310,000","797,266,200","8,722,825"
2893,61,1150.1,410000,"80,910,000","9,315,000,000","8,099,296"
2899,81,1488.1,170000,"33,510,000","5,000,000,000","3,359,989"
2903,57,300,1400000,"34,410,000","20,065,230,000","3,449,412"
2903,61,5517,210000,"22,510,000","20,065,230,000","3,449,412"
2907,58,292.7,1700000,"150,910,000","4,419,570,000","15,099,317"
2997,61,501.5,200000,"17,910,000","902,500,000","1,799,601"
3001,57,225,6000000,"117,010,000","6,134,652,999","11,709,588"
3001,61,298.9,230000,"59,310,000","6,134,652,999","11,709,588"
3018,81,157,200000,"98,210,000","1,543,250,000","9,829,618"
3056,58,65,6500000,"210,010,000","3,676,700,000","21,009,714"
3056,81,110,220000,"147,210,000","3,676,700,000","21,009,714"
3063,61,718,200000,"46,710,000","6,723,200,000","6,945,455"
3063,58,250,2600000,"65,510,000","6,723,200,000","6,945,455"
3065,57,67,21000000,"800,510,000","5,364,000,000","80,059,701"
3074,57,100,1750000,"54,710,000","8,876,400,000","5,479,259"
3091,58,750,2700000,"52,010,000","22,480,324,500","5,209,447"
3091,61,3565.3,160000,"26,610,000","22,480,324,500","5,209,447"
3113,61,1118,204000,"28,810,000","3,230,000,000","2,889,088"
3165,58,200,2600000,"107,310,000","2,147,999,730","10,739,999"
3184,58,119,7200000,"301,510,000","3,589,000,000","30,159,664"
3191,58,99,1400000,"54,610,000","541,500,000","5,469,697"
3194,57,231.7,29000000,"590,310,000","13,679,370,000","59,039,145"
3209,61,18495.1,110000,"2,210,000","4,240,000,000","229,250"
3215,57,154.4,12000000,"428,510,000","6,617,500,000","42,859,456"
3229,61,181.3,450000,"168,210,000","3,051,200,000","16,829,564"
3265,81,155,165000,"87,010,000","1,350,000,000","8,709,677"
3267,81,151,280000,"188,510,000","7,173,520,000","28,579,761"
3267,57,100,10000000,"285,710,000","7,173,520,000","28,579,761"
3330,58,100,2600000,"88,710,000","4,484,150,000","8,879,505"
3330,81,405,170000,"64,410,000","4,484,150,000","8,879,505"
3359,58,300,6400000,"121,010,000","12,133,460,000","12,109,242"
3359,61,702,170000,"58,710,000","12,133,460,000","12,109,242"
3362,61,1440,292500,"12,210,000","3,247,840,000","2,165,227"
3391,57,96.1,5000000,"138,310,000","1,330,000,000","13,839,750"
3395,61,4800,288000,"43,410,000","24,355,600,000","4,871,120"
3396,58,300,810000,"53,810,000","7,189,800,200","5,389,251"
3421,57,150,5000000,"146,510,000","2,832,246,000","14,659,658"
3421,61,43.2,240000,"98,910,000","2,832,246,000","14,659,658"
3428,61,332,200000,"37,110,000","1,235,000,000","3,719,880"
3442,57,100,1000000,"150,010,000","1,801,140,000","15,009,500"
3485,61,65,200000,"102,110,000","1,956,000,000","12,619,355"
3485,58,90,2600000,"126,110,000","1,956,000,000","12,619,355"
3493,62,10002,140000,"1,910,000","1,995,000,000","199,460"
3506,57,89.1,5040000,"243,010,000","2,166,000,000","24,309,764"
3524,62,19604,150000,"4,310,000","8,624,000,000","439,910"
3528,57,320,20000000,"510,410,000","16,335,900,000","51,049,688"
3545,57,66.6,1000000,"256,310,000","2,102,443,200","25,639,551"
3553,57,85.6,5000000,"401,710,000","3,439,350,000","40,179,322"
3556,57,55,1680000,"575,310,000","3,164,690,000","57,539,818"
3558,61,7642,390000,"18,310,000","14,060,000,000","1,839,833"
3568,58,100,2600000,"98,910,000","3,217,320,000","9,899,446"
3568,61,225,180000,"74,710,000","3,217,320,000","9,899,446"
3573,57,139.5,4000000,"265,510,000","3,705,000,000","26,559,140"
3577,58,100,2300000,"95,010,000","2,035,030,000","9,509,486"
3577,81,114,180000,"73,810,000","2,035,030,000","9,509,486"
3618,61,488.1,120000,"61,710,000","6,737,878,000","10,559,282"
